group,subject,T1,T2,T3,rate_w1,rate_w2,rate_w3,rate_w4
exp,1,46.0,42.0,40.0,50,58,65,70
exp,2,44.0,40.0,37.0,55,62,68,73
exp,3,48.0,43.0,39.0,48,56,64,69
exp,4,42.0,38.0,35.0,60,65,72,76
exp,5,47.0,41.0,38.0,52,59,66,71
exp,6,45.0,40.0,36.0,54,61,67,72
exp,7,43.0,39.0,34.0,58,64,70,75
exp,8,46.0,41.0,37.0,51,57,63,68
exp,9,44.0,39.0,35.0,53,60,66,71
exp,10,48.0,42.0,38.0,49,55,62,67
exp,11,45.0,40.0,36.0,55,62,69,74
exp,12,47.0,42.0,39.0,50,58,64,70
exp,13,43.0,38.0,34.0,56,63,68,73
exp,14,46.0,41.0,37.0,52,59,65,70
exp,15,44.0,39.0,35.0,54,61,67,72
ctrl,1,45.0,44.0,43.0,50,52,51,53
crtl,2,43.0,42.0,41.0,48,50,49,51
crtl,3,47.0,46.0,45.0,52,54,53,55
crtl,4,44.0,43.0,42.0,49,51,50,52
crtl,5,46.0,45.0,44.0,51,53,52,54
crtl,6,42.0,41.0,40.0,47,49,48,50
crtl,7,48.0,47.0,46.0,53,55,54,56
crtl,8,45.0,44.0,43.0,50,52,51,53
crtl,9,43.0,42.0,41.0,48,50,49,51
crtl,10,47.0,46.0,45.0,52,54,53,55
crtl,11,44.0,43.0,42.0,49,51,50,52
crtl,12,46.0,45.0,44.0,51,53,52,54
crtl,13,42.0,41.0,40.0,47,49,48,50
crtl,14,48.0,47.0,46.0,53,55,54,56
crtl,15,45.0,44.0,43.0,50,52,51,53
